time: 2015-04-29 22:53:52, pleasant_state: slightly_unpleasant, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 22:54:11, pleasant_state: slightly_unpleasant, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 22:54:11, pleasant_state: slightly_unpleasant, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 22:54:13, pleasant_state: slightly_unpleasant, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 22:54:13, pleasant_state: slightly_unpleasant, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 22:54:14, pleasant_state: slightly_unpleasant, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 22:54:14, pleasant_state: slightly_unpleasant, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 22:54:25, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-04-29 22:54:25, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-04-29 23:00:07, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-29 23:00:07, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-29 23:00:22, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-04-29 23:00:22, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-04-29 23:01:31, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-04-29 23:01:31, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-04-29 23:05:02, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-04-29 23:05:02, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-04-29 23:23:59, pleasant_state: very_pleasant, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 23:23:59, pleasant_state: very_pleasant, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 23:32:46, pleasant_state: neutral, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 23:32:46, pleasant_state: neutral, energy_state: neutral, stress_state: slightly_stressed
time: 2015-04-29 23:48:19, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: neutral
time: 2015-04-29 23:48:19, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: neutral
time: 2015-04-30 23:19:02, pleasant_state: , energy_state: , stress_state: 
time: 2015-04-30 23:19:02, pleasant_state: , energy_state: , stress_state: 
time: 2015-05-01 00:13:52, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-05-01 00:13:52, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-05-01 00:14:05, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-05-01 00:14:05, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-05-01 00:14:16, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-01 00:14:16, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-01 00:15:09, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-01 00:15:09, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-01 11:18:11, pleasant_state: , energy_state: , stress_state: 
time: 2015-05-01 11:29:04, pleasant_state: , energy_state: , stress_state: 
time: 2015-05-01 13:41:35, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: neutral
time: 2015-05-01 14:11:54, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-05-01 14:42:28, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: neutral
time: 2015-05-01 17:45:26, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: neutral
time: 2015-05-01 23:46:31, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-05-02 00:16:55, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-05-02 00:47:18, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-05-02 01:18:52, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-02 16:52:19, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
